#,id,name,supertype,hp,types,rarity,retreatCost,convertedRetreatCost,AbilityName,AbilityText,Attack1Name,Attack1Cost,Attack1ConvertedCost,Attack1Damage,DamageFormula,Attack1Text
1704,sm6-29,Bergmite,Pokemon,60,Water,Common,"Colorless, Colorless",2,,,Break Open,Water,1,10,,"If your opponent has a Stadium card in play, discard it. If you do, your opponent's Active Pokemon is now Paralyzed."
1707,sm6-32,Dewpider,Pokemon,60,Water,Common,Colorless,1,,,Gnaw,Colorless,1,10,,
1712,sm6-34,Magnemite,Pokemon,60,Lightning,Common,Colorless,1,,,Tackle,Lightning,1,10,,
1716,sm6-37,Helioptile,Pokemon,60,Lightning,Common,Colorless,1,,,Gnaw,Colorless,1,10,,
1726,sm6-43,Azelf,Pokemon,60,Psychic,Uncommon,Colorless,1,,,Hypnoblast,Colorless,1,10,,Your opponent's Active Pokemon is now Asleep.
1737,sm6-52,Skrelp,Pokemon,60,Psychic,Common,Colorless,1,,,Hook,Psychic,1,10,,
1740,sm6-54,Hoopa,Pokemon,80,Psychic,Uncommon,Colorless,1,,,Psy Bolt,Psychic,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
1752,sm6-63,Croagunk,Pokemon,60,Fighting,Common,Colorless,1,,,Swagger,Fighting,1,10,,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."
1756,sm6-66,Binacle,Pokemon,70,Fighting,Common,"Colorless, Colorless, Colorless",3,,,Allotment,Fighting,1,10,,Draw a card.
1777,sm6-83,Flabebe,Pokemon,30,Fairy,Common,Colorless,1,Evolutionary Advantage,"If you go second, this Pokemon can evolve during your first turn.",Tackle,Fairy,1,10,,
1787,sm6-91,Goomy,Pokemon,40,Dragon,Common,Colorless,1,Sticky Membrane,"As long as this Pokemon is your Active Pokemon, your opponent's Pokemon's attacks cost Colorless more.",Ram,Fairy,1,10,,
1788,sm6-92,Goomy,Pokemon,50,Dragon,Common,"Colorless, Colorless",2,,,Rain Splash,Water,1,10,,
1798,sm6-100,Noibat,Pokemon,50,Colorless,Common,Colorless,1,,,Ram,Colorless,1,10,,
1813,sm7-8,Treecko,Pokemon,70,Grass,Common,Colorless,1,,,Smack,Grass,1,10,,
1818,sm7-11,Seedot,Pokemon,40,Grass,Common,Colorless,1,,,Hang Down,Colorless,1,10,,
1828,sm7-19,Cacnea,Pokemon,60,Grass,Common,Colorless,1,Poison Payback,"If this Pokemon is your Active Pokemon and is damaged by an opponent's attack (even if this Pokemon is Knocked Out), the Attacking Pokemon is now Poisoned.",Light Punch,Colorless,1,10,,
1834,sm7-23,Slugma,Pokemon,70,Fire,Common,"Colorless, Colorless",2,,,Magma Ring,Colorless,1,10,,The Defending Pokemon can't retreat during your opponent's next turn.
1838,sm7-26,Torchic,Pokemon,70,Fire,Common,Colorless,1,,,Peck,Fire,1,10,,
1847,sm7-33,Mudkip,Pokemon,70,Water,Common,Colorless,1,,,Tackle,Water,1,10,,
1852,sm7-36,Lotad,Pokemon,60,Water,Common,Colorless,1,,,Surprise,Water,1,10,,Choose a random card from your opponent's hand. Your opponent reveals that card and shuffles it into their deck.
1857,sm7-41,Clamperl,Pokemon,50,Water,Common,"Colorless, Colorless, Colorless",3,Evolutionary Advantage,"If you go second, this Pokemon can evolve during your first turn.",Sparkling Pearl,Water,1,10,,
1867,sm7-49,Chinchou,Pokemon,60,Lightning,Common,Colorless,1,,,Pound,Colorless,1,10,,
1868,sm7-49,Chinchou,Pokemon,60,Lightning,Common,Colorless,1,,,Spark,"Lightning, Colorless",2,10,,This attack does 10 damage to 2 of your opponent's Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
1884,sm7-61,Lunatone,Pokemon,80,Psychic,Rare Holo,Colorless,1,Sol Shade,"If you have Solrock in play, Fire Pokemon in play (both yours and your opponent's) have no Abilities, except Pokemon-GX and Pokemon-EX.",Psyshock,Psychic,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
1886,sm7-63,Shuppet,Pokemon,60,Psychic,Common,Colorless,1,,,Headbutt,Colorless,1,10,,
1899,sm7-72,Phanpy,Pokemon,70,Fighting,Common,Colorless,1,,,Tackle,Colorless,1,10,,
1925,sm7-88,Sableye,Pokemon,70,Darkness,Uncommon,Colorless,1,Excavate,"Once during your turn (before your attack), you may look at the top card of your deck. You may discard that card.",Disable,Colorless,1,10,,Choose 1 of your opponent's Active Pokemon's attacks. That Pokemon can't use that attack during your opponent's next turn.
1930,sm7-92,Beldum,Pokemon,60,Metal,Common,"Colorless, Colorless",2,Conductive Body,"As long as this Pokemon is your Active Pokemon, its Retreat Cost is Colorless less for each Beldum on your Bench.",Ram,Metal,1,10,,
1940,sm7-103,Bagon,Pokemon,60,Dragon,Common,Colorless,1,,,Rock Head,Water,1,10,,"During your opponent's next turn, this Pokemon takes 10 less damage from attacks (after applying Weakness and Resistance)."
1945,sm7-110,Dunsparce,Pokemon,50,Colorless,Uncommon,Colorless,1,,,Sudden Flash,Colorless,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
1946,sm7-111,Wingull,Pokemon,60,Colorless,Common,Colorless,1,,,Glide,Colorless,1,10,,
1960,sm7-120,Skitty,Pokemon,60,Colorless,Common,Colorless,1,,,Fake Out,Colorless,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
1991,sm75-25,Wooper,Pokemon,70,Water,Common,Colorless,1,,,Ram,Colorless,1,10,,
1995,sm75-28,Feebas,Pokemon,30,Water,Common,Colorless,1,Submerge,"As long as this Pokemon is on your Bench, prevent all damage done to this Pokemon by attacks (both yours and your opponent's).",Rain Splash,Water,1,10,,
2002,sm75-34,Dratini,Pokemon,60,Dragon,Common,"Colorless, Colorless",2,,,Wrap,Lightning,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
2010,sm75-42,Bagon,Pokemon,60,Dragon,Common,Colorless,1,,,Risky Kick,Colorless,1,10,,"Flip a coin. If tails, this attack does nothing."
2043,sm8-6,Chikorita,Pokemon,70,Grass,Common,Colorless,1,,,Mini Drain,Grass,1,10,,Heal 10 damage from this Pokemon.
2048,sm8-9,Spinarak,Pokemon,50,Grass,Common,Colorless,1,,,Sting,Colorless,1,10,,
2061,sm8-23,Wurmple,Pokemon,60,Grass,Common,Colorless,1,,,Ram,Colorless,1,10,,
2083,sm8-39,Cyndaquil,Pokemon,60,Fire,Common,Colorless,1,,,Smokescreen,Fire,1,10,,"If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack doesn't happen."
2091,sm8-45,Houndour,Pokemon,60,Fire,Common,Colorless,1,,,Flare,Fire,1,10,,
2118,sm8-65,Popplio,Pokemon,70,Water,Common,Colorless,1,,,Blot,Water,1,10,,Heal 10 damage from this Pokemon.
2135,sm8-76,Mareep,Pokemon,60,Lightning,Common,Colorless,1,,,Thunder Shock,Lightning,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
2140,sm8-81,Blitzle,Pokemon,70,Lightning,Common,Colorless,1,,,Flop,Lightning,1,10,,
2154,sm8-90,Unown,Pokemon,60,Psychic,Rare,Colorless,1,DAMAGE,"Once during your turn (before your attack), if this Pokemon is your Active Pokemon, and if there are 66 or more damage counters on your Benched Pokemon, you may use this Ability. If you do, you win this game.",Hidden Power,Psychic,1,10,,
2155,sm8-91,Unown,Pokemon,60,Psychic,Rare,Colorless,1,HAND,"Once during your turn (before your attack), if this Pokemon is your Active Pokemon, and if you have 35 or more cards in your hand, you may use this Ability. If you do, you win this game.",Hidden Power,Psychic,1,10,,
2156,sm8-92,Unown,Pokemon,60,Psychic,Rare,Colorless,1,MISSING,"Once during your turn (before your attack), if this Pokemon is your Active Pokemon, and if your opponent has 12 or more Supporter cards in the Lost Zone, you may use this Ability. If you do, you win this game.",Hidden Power,Psychic,1,10,,
2172,sm8-105,Mareanie,Pokemon,60,Psychic,Common,Colorless,1,,,Peck,Colorless,1,10,,
2185,sm8-114,Larvitar,Pokemon,50,Fighting,Common,Colorless,1,Submerge,"As long as this Pokemon is on your Bench, prevent all damage done to this Pokemon by attacks (both yours and your opponent's).",Bite,Colorless,1,10,,
2209,sm8-133,Jigglypuff,Pokemon,70,Fairy,Common,"Colorless, Colorless",2,,,Pound,Fairy,1,10,,
2225,sm8-142,Dedenne,Pokemon,70,Fairy,Uncommon,Colorless,1,,,Zzzap Touch,Fairy,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Confused. If tails, your opponent's Active Pokemon is now Paralyzed."
2247,sm8-163,Pikipek,Pokemon,50,Colorless,Common,Colorless,1,,,Peck Off,Colorless,1,10,,"Before doing damage, discard all Pokemon Tool cards from your opponent's Active Pokemon."
2254,sm9-2,Weedle,Pokemon,40,Grass,Common,Colorless,1,,,Bug Bite,Grass,1,10,,
2259,sm9-6,Paras,Pokemon,70,Grass,Common,Colorless,1,,,Scratch,Colorless,1,10,,
2265,sm9-11,Charmander,Pokemon,50,Fire,Common,Colorless,1,,,Scratch,Fire,1,10,,
2272,sm9-17,Ponyta,Pokemon,70,Fire,Common,Colorless,1,,,Live Coal,Fire,1,10,,
2282,sm9-23,Squirtle,Pokemon,70,Water,Common,Colorless,1,,,Tackle,Colorless,1,10,,
2287,sm9-26,Psyduck,Pokemon,60,Water,Common,"Colorless, Colorless",2,,,Headache,Colorless,1,10,,"Flip a coin. If heads, your opponent can't play any Trainer cards from their hand during their next turn."
2290,sm9-28,Staryu,Pokemon,50,Water,Common,Colorless,1,,,Numbing Water,Colorless,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
2315,sm9-47,Joltik,Pokemon,40,Lightning,Common,Colorless,1,,,Leech Life,Lightning,1,10,,Heal from this Pokemon the same amount of damage you did to your opponent's Active Pokemon.
2317,sm9-49,Helioptile,Pokemon,60,Lightning,Common,Colorless,1,,,Pound,Colorless,1,10,,
2328,sm9-57,Nidoran ♂,Pokemon,60,Psychic,Common,Colorless,1,,,Peck,Colorless,1,10,,
2334,sm9-60,Tentacool,Pokemon,60,Psychic,Common,Colorless,1,,,Wrap,Colorless,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
2337,sm9-62,Grimer,Pokemon,80,Psychic,Common,"Colorless, Colorless",2,,,Pound,Colorless,1,10,,
2345,sm9-69,Cosmog,Pokemon,50,Psychic,Common,Colorless,1,Cosmic Guard,"As long as this Pokemon is on your Bench, prevent all damage done to this Pokemon by attacks (both yours and your opponent's).",Mumble,Colorless,1,10,,
2367,sm9-86,Poochyena,Pokemon,70,Darkness,Common,Colorless,1,,,Bite,Darkness,1,10,,
2377,sm9-92,Vullaby,Pokemon,60,Darkness,Common,Colorless,1,,,Corkscrew Punch,Darkness,1,10,,
2407,sm9-117,Dratini,Pokemon,70,Dragon,Common,"Colorless, Colorless",2,Defensive Scales,"Prevent all effects of your opponent's attacks, except damage, done to this Pokemon.",Rain Splash,Water,1,10,,
2416,sm9-125,Meowth,Pokemon,70,Colorless,Common,Colorless,1,,,Scratch,Colorless,1,10,,
2436,smp-SM06,Rockruff,Pokemon,60,Fighting,Promo,Colorless,1,,,Tackle,Colorless,1,10,,
2458,smp-SM22,Rowlet,Pokemon,60,Grass,Promo,Colorless,1,,,Tackle,Colorless,1,10,,
2460,smp-SM23,Litten,Pokemon,70,Fire,Promo,Colorless,1,,,Bite,Fire,1,10,,
2462,smp-SM24,Popplio,Pokemon,70,Water,Promo,Colorless,1,,,Pound,Water,1,10,,
2481,smp-SM43,Alolan Meowth,Pokemon,60,Darkness,Promo,Colorless,1,,,Scratch,,0,10,,
2495,smp-SM51,Alolan Meowth,Pokemon,60,Darkness,Promo,Colorless,1,,,Scratch,Darkness,1,10,,
2522,smp-SM83,Zorua,Pokemon,60,Darkness,Promo,Colorless,1,,,Stampede,Darkness,1,10,,
2525,smp-SM86,Pikachu,Pokemon,60,Lightning,Promo,Colorless,1,,,Tail Whap,Colorless,1,10,,
2542,smp-SM98,Pikachu,Pokemon,60,Lightning,Promo,Colorless,1,,,Tail Whap,Colorless,1,10,,
2573,smp-SM119,Exeggcute,Pokemon,50,Grass,Promo,Colorless,1,,,Psy Bolt,"Colorless, Colorless",2,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
2608,smp-SM157,Pikachu,Pokemon,60,Lightning,Promo,Colorless,1,Pika Shield,This Pokemon can't be Paralyzed.,Static Shock,Lightning,1,10,,
2638,smp-SM198,Bulbasaur,Pokemon,70,Grass,Promo,"Colorless, Colorless",2,,,Ram,Colorless,1,10,,
2641,smp-SM200,Snubbull,Pokemon,60,Fairy,Promo,Colorless,1,,,Bite,Fairy,1,10,,
2660,smp-SM220,Phione,Pokemon,70,Water,Promo,Colorless,1,Whirlpool Suction,"Once during your turn (before your attack), if this Pokemon is on your Bench, you may have your opponent switch their Active Pokemon with 1 of their Benched Pokemon. If you do, discard all cards attached to this Pokemon and put it on the bottom of your deck.",Rain Splash,Water,1,10,,
2687,sv1-1,Pineco,Pokemon,60,Grass,Common,"Colorless, Colorless",2,,,Guard Press,"Colorless, Colorless",2,10,,"During your opponent's next turn, this Pokemon takes 30 less damage from attacks (after applying Weakness and Resistance)."
2690,sv1-3,Shroomish,Pokemon,60,Grass,Common,Colorless,1,,,Absorb,Grass,1,10,,Heal 10 damage from this Pokemon.
2700,sv1-11,Skiddo,Pokemon,60,Grass,Common,Colorless,1,,,Vine Whip,Grass,1,10,,
2704,sv1-13,Sprigatito,Pokemon,70,Grass,Common,Colorless,1,,,Scratch,Colorless,1,10,,
2711,sv1-16,Tarountula,Pokemon,40,Grass,Common,Colorless,1,,,Bug Bite,Grass,1,10,,
2722,sv1-25,Toedscool,Pokemon,60,Grass,Common,"Colorless, Colorless",2,,,Ram,"Colorless, Colorless",2,10,,
2725,sv1-27,Capsakid,Pokemon,60,Grass,Common,Colorless,1,,,Slightly Spicy,Colorless,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Burned."
2733,sv1-33,Houndour,Pokemon,70,Fire,Common,Colorless,1,,,Bite,Colorless,1,10,,
2739,sv1-36,Fuecoco,Pokemon,80,Fire,Common,"Colorless, Colorless",2,,,Gnaw,Colorless,1,10,,
2752,sv1-46,Buizel,Pokemon,70,Water,Common,Colorless,1,,,Rain Splash,Water,1,10,,
2757,sv1-49,Clauncher,Pokemon,70,Water,Common,Colorless,1,,,Vise Grip,Water,1,10,,
2762,sv1-52,Quaxly,Pokemon,70,Water,Common,Colorless,1,,,Pound,Colorless,1,10,,
2767,sv1-55,Wiglett,Pokemon,50,Water,Common,Colorless,1,,,Twisting Strike,Water,1,10,,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon."
2773,sv1-59,Cetoddle,Pokemon,100,Water,Common,"Colorless, Colorless, Colorless",3,,,Icicle,Water,1,10,,
2782,sv1-63,Magnemite,Pokemon,60,Lightning,Common,Colorless,1,,,Electro Ball,Lightning,1,10,,
2785,sv1-66,Mareep,Pokemon,60,Lightning,Common,Colorless,1,,,Static Shock,Lightning,1,10,,
2797,sv1-74,Pawmi,Pokemon,60,Lightning,Common,Colorless,1,,,Light Punch,Colorless,1,10,,
2816,sv1-87,Shuppet,Pokemon,60,Psychic,Common,Colorless,1,,,Enveloping Shadow,Psychic,1,10,,"Flip a coin. If heads, during your opponent's next turn, they can't play any Item cards from their hand."
2817,sv1-89,Drifloon,Pokemon,70,Psychic,Common,Colorless,1,,,Gust,"Colorless, Colorless",2,10,,
2826,sv1-96,Klefki,Pokemon,70,Psychic,Rare,Colorless,1,Mischievous Lock,"As long as this Pokemon is in the Active Spot, Basic Pokemon in play (both yours and your opponent's) have no Abilities, except for Mischievous Lock.",Joust,Colorless,1,10,,"Before doing damage, discard all Pokemon Tools from your opponent's Active Pokemon."
2831,sv1-100,Flittle,Pokemon,30,Psychic,Common,,0,,,Ram,Psychic,1,10,,
2833,sv1-102,Flittle,Pokemon,40,Psychic,Common,Colorless,1,,,Dash Off,Psychic,1,10,,Switch this Pokemon with 1 of your Benched Pokemon.
2844,sv1-110,Meditite,Pokemon,60,Fighting,Common,Colorless,1,,,Feint,Fighting,1,10,,This attack's damage isn't affected by Resistance.
2847,sv1-112,Riolu,Pokemon,70,Fighting,Common,Colorless,1,,,Jab,Colorless,1,10,,
2849,sv1-113,Riolu,Pokemon,70,Fighting,Common,Colorless,1,,,Punch,Fighting,1,10,,
2853,sv1-115,Sandile,Pokemon,70,Fighting,Common,"Colorless, Colorless",2,,,Gnaw,Fighting,1,10,,
2874,sv1-130,Croagunk,Pokemon,70,Darkness,Common,Colorless,1,,,Beat,Darkness,1,10,,
2876,sv1-132,Pawniard,Pokemon,70,Darkness,Common,Colorless,1,,,Scratch,Colorless,1,10,,
2881,sv1-135,Maschiff,Pokemon,70,Darkness,Common,"Colorless, Colorless",2,,,Rear Kick,Darkness,1,10,,
2926,sv2-1,Hoppip,Pokemon,50,Grass,Common,Colorless,1,,,Splashing Dodge,Grass,1,10,,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon."
2940,sv2-12,Sprigatito,Pokemon,60,Grass,Common,Colorless,1,,,Seed Bomb,Grass,1,10,,
2944,sv2-16,Tarountula,Pokemon,50,Grass,Common,Colorless,1,,,Bind Down,Grass,1,10,,"During your opponent's next turn, the Defending Pokemon can't retreat."
2949,sv2-19,Nymble,Pokemon,40,Grass,Common,Colorless,1,,,Bug Bite,Grass,1,10,,
2953,sv2-22,Bramblin,Pokemon,40,Grass,Common,Colorless,1,,,Ride the Wind,Colorless,1,10,,"Flip a coin. If heads, switch this Pokemon with 1 of your Benched Pokemon."
2954,sv2-23,Bramblin,Pokemon,50,Grass,Common,Colorless,1,,,Blot,Grass,1,10,,Heal 10 damage from this Pokemon.
2957,sv2-25,Rellor,Pokemon,40,Grass,Common,Colorless,1,,,Bug Bite,Colorless,1,10,,
2965,sv2-31,Litleo,Pokemon,70,Fire,Common,Colorless,1,,,Live Coal,Fire,1,10,,
2975,sv2-39,Charcadet,Pokemon,80,Fire,Common,"Colorless, Colorless",2,,,Live Coal,Colorless,1,10,,
3003,sv2-58,Frigibax,Pokemon,70,Water,Common,"Colorless, Colorless",2,,,Chilly,Water,1,10,,
3014,sv2-66,Voltorb,Pokemon,70,Lightning,Common,Colorless,1,,,Lightning Ball,Lightning,1,10,,
3018,sv2-68,Shinx,Pokemon,40,Lightning,Common,Colorless,1,Big Roar,"Once during your turn, if this Pokemon is in the Active Spot, you may switch out your opponent's Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.)",Ram,Lightning,1,10,,
3031,sv2-77,Tadbulb,Pokemon,50,Lightning,Common,Colorless,1,,,Thunder Wave,Lightning,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
3032,sv2-78,Tadbulb,Pokemon,60,Lightning,Common,Colorless,1,,,Stampede,Colorless,1,10,,
3034,sv2-80,Wattrel,Pokemon,60,Lightning,Common,Colorless,1,,,Peck,Colorless,1,10,,
3045,sv2-87,Misdreavus,Pokemon,70,Psychic,Common,Colorless,1,,,Hypnoblast,"Psychic, Colorless",2,10,,Your opponent's Active Pokemon is now Asleep.
3047,sv2-89,Spiritomb,Pokemon,60,Psychic,Rare,Colorless,1,Fettered in Misfortune,Basic Pokemon V in play (both yours and your opponent's) have no Abilities.,Fade Out,Colorless,1,10,,Put this Pokemon and all attached cards into your hand.
3048,sv2-90,Gothita,Pokemon,70,Psychic,Common,Colorless,1,,,Pound,Colorless,1,10,,
3074,sv2-106,Mankey,Pokemon,60,Fighting,Common,Colorless,1,,,Low Kick,Fighting,1,10,,
3086,sv2-114,Croagunk,Pokemon,70,Fighting,Common,Colorless,1,,,Poison Sting,Fighting,1,10,,Your opponent's Active Pokemon is now Poisoned.
3089,sv2-116,Rockruff,Pokemon,70,Fighting,Common,Colorless,1,,,Rock Throw,Fighting,1,10,,
3103,sv2-128,Paldean Wooper,Pokemon,60,Darkness,Common,"Colorless, Colorless",2,,,Ram,Darkness,1,10,,
3104,sv2-129,Paldean Wooper,Pokemon,60,Darkness,Common,Colorless,1,,,Stampede,Colorless,1,10,,
3106,sv2-131,Murkrow,Pokemon,60,Darkness,Common,Colorless,1,,,Spin Turn,Colorless,1,10,,Switch this Pokemon with 1 of your Benched Pokemon.
3128,sv2-144,Shroodle,Pokemon,50,Darkness,Common,Colorless,1,,,Scratch,Darkness,1,10,,
3154,sv2-164,Rookidee,Pokemon,60,Colorless,Common,Colorless,1,,,Send Back,Colorless,1,10,,Switch out your opponent's Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.)
3159,sv2-167,Tandemaus,Pokemon,40,Colorless,Common,Colorless,1,,,Attach,Colorless,1,10,,
3165,sv3-1,Oddish,Pokemon,50,Grass,Common,Colorless,1,,,Stampede,Grass,1,10,,
3170,sv3-4,Scyther,Pokemon,80,Grass,Common,Colorless,1,,,Agility,Colorless,1,10,,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon."
3186,sv3-16,Bounsweet,Pokemon,60,Grass,Common,Colorless,1,,,Stampede,Grass,1,10,,
3192,sv3-19,Smoliv,Pokemon,50,Grass,Common,Colorless,1,,,Absorb,Grass,1,10,,Heal 10 damage from this Pokemon.
3201,sv3-28,Vulpix,Pokemon,60,Fire,Common,Colorless,1,,,Combustion,Fire,1,10,,
3219,sv3-40,Larvesta,Pokemon,80,Fire,Common,"Colorless, Colorless",2,,,Flare,Fire,1,10,,
3223,sv3-43,Charcadet,Pokemon,70,Fire,Common,Colorless,1,,,Light Punch,Colorless,1,10,,
3234,sv3-50,Tympole,Pokemon,70,Water,Common,Colorless,1,,,Screw Tail,Water,1,10,,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon."
3237,sv3-53,Cubchoo,Pokemon,70,Water,Common,"Colorless, Colorless",2,,,Smash Kick,Water,1,10,,
3244,sv3-58,Wiglett,Pokemon,60,Water,Common,Colorless,1,,,Rain Splash,Water,1,10,,
3247,sv3-60,Finizen,Pokemon,50,Water,Common,"Colorless, Colorless",2,,,Razor Fin,Water,1,10,,
3251,sv3-63,Magnemite,Pokemon,60,Lightning,Common,Colorless,1,,,Ram,Lightning,1,10,,
3257,sv3-67,Tynamo,Pokemon,40,Lightning,Common,Colorless,1,,,Static Shock,Lightning,1,10,,
3282,sv3-87,Snubbull,Pokemon,80,Psychic,Common,"Colorless, Colorless",2,,,Gnaw,Psychic,1,10,,
3287,sv3-90,Spoink,Pokemon,70,Psychic,Common,Colorless,1,,,Splash,Psychic,1,10,,
3294,sv3-94,Baltoy,Pokemon,70,Psychic,Common,"Colorless, Colorless",2,,,Rapid Spin,Psychic,1,10,,"Switch this Pokemon with 1 of your Benched Pokemon. If you do, switch out your opponent's Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.)"
3297,sv3-97,Sinistea,Pokemon,30,Psychic,Common,Colorless,1,,,Cold Tea,Psychic,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
3300,sv3-99,Greavard,Pokemon,70,Psychic,Common,"Colorless, Colorless",2,,,Gnaw,Psychic,1,10,,
3307,sv3-105,Larvitar,Pokemon,70,Fighting,Common,Colorless,1,,,Corkscrew Punch,Fighting,1,10,,
3317,sv3-110,Bonsly,Pokemon,30,Fighting,Common,,0,,,Blubbering,,0,10,,Your opponent's Active Pokemon is now Confused.
3329,sv3-118,Toedscool,Pokemon,60,Fighting,Common,Colorless,1,,,Smash Kick,Fighting,1,10,,
3334,sv3-121,Glimmet,Pokemon,60,Fighting,Common,Colorless,1,,,Hang Down,Fighting,1,10,,
3346,sv3-132,Houndour,Pokemon,70,Darkness,Common,Colorless,1,,,Bite,Darkness,1,10,,
3354,sv3-139,Salandit,Pokemon,70,Darkness,Common,Colorless,1,,,Suffocating Gas,Darkness,1,10,,
3378,sv3-154,Varoom,Pokemon,60,Metal,Common,Colorless,1,,,Spinning Draw,Metal,1,10,,Draw a card.
3392,sv3-167,Zigzagoon,Pokemon,70,Colorless,Common,Colorless,1,,,Headbutt Bounce,Colorless,1,10,,
3411,sv3-178,Skwovet,Pokemon,60,Colorless,Common,Colorless,1,,,Gentle Slap,Colorless,1,10,,
3414,sv3-182,Lechonk,Pokemon,70,Colorless,Common,"Colorless, Colorless",2,,,Headbutt Bounce,Colorless,1,10,,
3438,sv3pt5-13,Weedle,Pokemon,50,Grass,Common,Colorless,1,,,Ram,Grass,1,10,,
3450,sv3pt5-21,Spearow,Pokemon,50,Colorless,Common,Colorless,1,Evolutionary Advantage,"If you go second, this Pokemon can evolve during your first turn.",Speed Dive,Colorless,1,10,,
3476,sv3pt5-41,Zubat,Pokemon,40,Darkness,Common,Colorless,1,Revealing Echo,"Once during your turn, if this Pokemon is in the Active Spot, you may have your opponent reveal their hand.",Bite,Colorless,1,10,,
3481,sv3pt5-46,Paras,Pokemon,70,Grass,Common,"Colorless, Colorless",2,,,Stampede,Grass,1,10,,
3485,sv3pt5-48,Venonat,Pokemon,70,Grass,Common,"Colorless, Colorless",2,,,Gnaw,Colorless,1,10,,
3489,sv3pt5-50,Diglett,Pokemon,50,Fighting,Common,Colorless,1,,,Headbutt Bounce,Fighting,1,10,,
3497,sv3pt5-54,Psyduck,Pokemon,70,Water,Common,Colorless,1,,,Water Gun,Water,1,10,,
3503,sv3pt5-58,Growlithe,Pokemon,80,Fire,Common,"Colorless, Colorless",2,,,Vaporize,Fire,1,10,,Discard a Water Energy from your opponent's Active Pokemon.
3506,sv3pt5-60,Poliwag,Pokemon,60,Water,Common,Colorless,1,,,Bubble,Water,1,10,,"Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed."
3517,sv3pt5-69,Bellsprout,Pokemon,60,Grass,Common,Colorless,1,,,Cut,Grass,1,10,,
3523,sv3pt5-72,Tentacool,Pokemon,60,Water,Common,Colorless,1,,,Tingle,Water,1,10,,
3539,sv3pt5-81,Magnemite,Pokemon,60,Lightning,Common,Colorless,1,,,Tiny Charge,Lightning,1,10,,
3550,sv3pt5-88,Grimer,Pokemon,80,Darkness,Common,"Colorless, Colorless",2,,,Gummy Press,Darkness,1,10,,"During your opponent's next turn, the Defending Pokemon's Retreat Cost is Colorless more."
3588,sv3pt5-116,Horsea,Pokemon,60,Water,Common,Colorless,1,,,Rain Splash,Water,1,10,,
3593,sv3pt5-119,Seaking,Pokemon,110,Water,Uncommon,"Colorless, Colorless",2,,,Swim Freely,Water,1,10,,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokemon."
3602,sv3pt5-126,Magmar,Pokemon,90,Fire,Common,"Colorless, Colorless",2,,,Live Coal,Fire,1,10,,
3612,sv3pt5-132,Ditto,Pokemon,60,Colorless,Rare,Colorless,1,Transformative Start,"Once during your first turn, if this Pokemon is in the Active Spot, you may search your deck and choose a Basic Pokemon you find there, except any Ditto. If you do, discard this Pokemon and all attached cards, and put the chosen Pokemon in its place. Then, shuffle your deck.",Splup,Colorless,1,10,,
3614,sv3pt5-133,Eevee,Pokemon,70,Colorless,Common,Colorless,1,,,Skip,Colorless,1,10,,
3631,sv3pt5-147,Dratini,Pokemon,60,Dragon,Common,Colorless,1,,,Beat,Water,1,10,,
3655,sv4-13,Nymble,Pokemon,40,Grass,Common,,0,,,Gnaw,Colorless,1,10,,
3670,sv4-23,Fuecoco,Pokemon,80,Fire,Common,"Colorless, Colorless",2,,,Live Coal,Fire,1,10,,
3684,sv4-33,Remoraid,Pokemon,70,Water,Common,Colorless,1,,,Sprinkle Water,Colorless,1,10,,
3716,sv4-62,Blitzle,Pokemon,60,Lightning,Common,Colorless,1,,,Rear Kick,Lightning,1,10,,
